book_title,reviewer_name,review_score,review_summary,review_text,review_date
Pasquale's Nose: Idle Days in an Italian Town,"countsheep ""Sleepy""",4,"Italy, or anywhere, at its best and most real.","People are complex and messy, I think, at least when they're truly being themselves. What I liked about this book was that it seemed to show a town where the locals are very comfortable being themselves, with their full ""eccentricity"" on display (though I suspect the true eccentricity is manifest in the desire of so many human beings to present some kind of uniformly ""sane"" facade).Some of the reviews that were less happy with this book seem to object to its disjointed feel, its lack of a clear story line. If that's what you're looking for, you may very well be disappointed. BUT, if you're willing to look at it as essays or character sketches, with a little bit of musing about why the Sutrini are the way they are (and really, why *we* are the way we are), you may enjoy it more. The book feels a little uncomfortable at first, probably much the way I'd imagine Rips felt when he arrived and dove into this strange new world.I read the book after arriving back home in the states after 5 weeks in Italy. Were that not my particular circumstance, I think I might have found the book less believable. But then I remember my time there, and also remember my time living in small towns in the USA, and realize Rips is probably telling the truth--mostly (it's just that the Italians have had a longer time to build local lore and a longer history to draw from and feed their quirkiness). In general, in small town Italy (at least a number of them where I've traveled) many people seem to radiate a mostly enviable attitude of not really giving a hoot what anyone thinks of them.I found the inhabitants of Sutri as presented by Rips fascinating, frustrating, lovable, bizarre, and very human. I also enjoyed Rips' reflections as these people held up a mirror to him and he seemed to begin to embrace or at least be pulled into the strangeness of it all, as though this place gives one permission to do just that, to get in touch with one's inner eccentric.This is definitely NOT your typical know-it-all expatriate memoir or the typical romanticized fantasy of Italy (though I've enjoyed some of those, too). It's colorful and interesting, a nice combination of sociology, anthropology, history, philosophy and humor. All that, and it was a quick read, too.",2023-01-01
French Made Simple: Learn to speak and understand French quickly and easily,My Two Cents,5,User-friendly and inexpensive,"I purchased this book to supplement my audio learning of French using the Pimsleur method. French Made Simple is an excellent resource because it introduces vocabulary in a controlled way. Short passages are presented in each chapter with French in one column and English in the other. There are follow-up exercises to practice and apply your new vocabulary. Be sure to supplement this book with an audio program, so you are learning the correct pronunciation of words.",2023-01-01
French Made Simple: Learn to speak and understand French quickly and easily,"Terry Oulboub ""knowledge lover""",2,Difficult,"This particular book is definitely not easy. It is for someone who knew a little French and needed a refresher course. It is not for someone who is attempting to learn the language for the first time, as it does not come with a CD. It is nice to see the pronunciation spelled out but it is not phonetic as in English, so makes it confusing. Good book for those who need a refresher.",2023-01-01
Japanese Hiragana: An Introductory Japanese Language Workbook,Iza Smarty,3,For children only...,This book is boring and inelegant. Absolutely NOT for adults. I got to page 17 and couldn't stand it anymore.,2023-01-01
Programming Jabber: Extending XML Messaging (O'Reilly XML),"""cpfeifer""",4,This book covers all layers of Jabber very well,"When I first picked up this book, I expeted to understand the Jabber protocol in sufficient depth to implement my own IM client. Instead, the approach this book takes is that Jabber isn't just an XML-based protocol strictly for IM, rather it is a general purpose event notification protocol that has some very nice message routing and user management features built into it. While I was reading about the messages that Jabber has defined as part of the protocol, I could easily see other applications/devices generating Jabber messages to notify subscribers (either other systems, or people) of events.This book covers everything relevant to Jabber technology, from lowest level innerworkings and extensibility examples for developers to configuration and deployment for admins. Most of the book is spent looking directly at the Jabber XML protocol, instead of a specific API implementation. This way, the book covers the technology and doesn't get lost in how one particular API models the protocol.",2023-01-01
Practical Electronic Fault-Finding and Troubleshooting,Russ Lavergne,3,Interesting but....,I have read and re-read this book and find it interesting but it lacks proper outlines and steps to follow. Shows some unique insights but doesn't give enough examples and step by step procedures to follow when troubleshooting. Overall it is a good book to have but I don't think it is worth the list price of $47.00 or even half that. I put the value around $14.00.,2023-01-01
Artists in Residence: A Guide to the Homes and Studios of Eight 19th-Century Painters In and Around Paris Paperback with slip case,Beyond-Is-Within Also,5,"Gorgeous pic-survey and complete travel guide, NOT art crit!","I'll agree with the previous reviewer concerning this title's arty status, and then some -- this is the most delicious mini-coffee-table book/slipcase combo I've come across in years of book reselling. But the demand for heavyweight art-crit action is misdirected.The book's subtitle says ""A Guide,"" and that's exactly what it is, via glorious photos of interiors with atmospheric introductory texts; repros of a typical work or two; and shots of the surrounding countryside -- PLUS complete information concerning: how to get there and where to stay; walking tours of the areas and other local tours of interest; and where to eat nearby. It even has a bibliography -- quite a satisfying package in 143 pages!If you love French art and plan to be around Paris, just grab yourself a copy of this title, plan your pilgrimage, and GO -- then do the art-crit thing afterwards....",2023-01-01
French Made Simple: Learn to speak and understand French quickly and easily,Louise,5,French Made Simple,I was very pleased with my purchase. It was received in a timing manner. Book was in good condition. Thank you.,2023-01-01
French Made Simple: Learn to speak and understand French quickly and easily,"aeromusica ""aeromusica""",4,Well-organized intro to French,"My high school French is coming back to me with the help of my bi-weekly tutor and French Made Simple. Each chapter introduces a new concept and new vocabulary, which are repeated and reinforced in subsequent chapters. The pronunciation guide at the beginning of the text is very helpful, but I do wish a CD were included.",2023-01-01
French Made Simple: Learn to speak and understand French quickly and easily,"Charlotte Sanford ""Charlotte""",4,A good review source!,"French Made Simple presents a solid review of French - good for business use.If you had French before and want re-awaken it, it is the most solid, up-to-date review I have seen! It is a good book for adult, linear thinkers who are good at languages. It is also good for skilled language learners. It has a familiar format for those who don't mind the grammar translation method.The book is well-designed. I have it in French and in German. Both versions offer solid quality, good organization, a decent dictionary, useful content, and thematic organization.If you are a novice to French, supplement this text with a conversational partner. The content can be 'covered', quickly in about 40-50 contact hours.If you are a novice to grammar, add the book: English Grammar for Students of French by Morton, et al. It is incredibly useful. The book assumes a command of grammar terms used in learning languages.It is not designed for children/teens, visual or kinesthetic learners: no pictures, games, colors, communicative activities, no illustrations or audio materials.The book is a good choice for basics and adult business learners.",2023-01-01
Science and Culture: Popular and Philosophical Essays,patmcdaddy@aol.com Patrick McDonald,5,An excellent collection of Helmholtz's best essays,"Hermann von Helmholtz was quite simply one of the most important German scientists of the 19th century. However, what becomes so clear when one peruses the collection edited by David Cahan is that Helmholtz has much of interest to say to philosophers, artists, musicians, and historians. This collection includes his most important public addresses on a wide range of topics and provides a clear portrait of the breadth of Helmholtz's contributions to science and intellectual life. This provides in English what is lacking in the original German editions - a readily available, inexpensive edition of Helmholtz's highly influential work.",2023-01-01
French Made Simple: Learn to speak and understand French quickly and easily,Vic Larson,4,Still a standard after all these years,Dr VThis is still a standard for learning French.It has always been an interesting approach and an easy way to learn French. So in general it is great. What would make it terrific would to have accompanying audio cd's to make speaking French easier. Then it would be rated with 5 stars.,2023-01-01
French Made Simple: Learn to speak and understand French quickly and easily,Kate L,4,French Made Simple,This would be a good guide for a beginner. I studied French many years ago and bought it for a review. It has been very helpful and something I can refer to from time to time. Well worth it,2023-01-01
Pasquale's Nose: Idle Days in an Italian Town,D. R. Ransdell,4,Life as a Tomato,"Rips paints a town of amazing, eccentric characters you long to get to know yourself. I found the words of the Philosopher of special interest. This Sutrian old-timer defines the tomato [and its concentrate] as being &quot;the perfect food for the traveler, who is, himself, in an indefinite or ambiguous state--separated from the place of departure but not yet attached to the place of arrival.&quot; When I read the above passage, I did a double-take. I was on a plane drinking tomato juice, which I never order at a restaurant nor drink at home! Rips' are the kinds of stories you only gather by 'going native,' living in a foreign place long enough to really know it. By sharing his stories, Rips takes us with him.",2023-01-01
Pasquale's Nose: Idle Days in an Italian Town,S. Isselhardt,2,Not Very Interesting,I could not get interested in this at all. Maybe 4-5 pages held my interest. Each chapter deals with a different character in the village or an event that happened - not a lot of continuity - the characters weren't engrossing enough to make me want to know more about them. I love books about Italy and Tuscany in particular but this would be pretty low on my list.,2023-01-01
"Computer Architecture: Software Aspects, Coding, and Hardware","Bob_Bryan ""robertcbryan""",1,Disappointing: A good book done badly.,"If this were the only book in the world on the subject, I would probably recommend it. As it happens, there are lots of other books out there, almost all of which are better. I picked up this book because I always enjoy reading how computer architecture is covered and it seemed to contain some subjects of particular interest. I promptly discovered that while it contains a lot of good material, it is incredibly poorly organized, badly edited and actually contains factual errors.Parts of it remind me of a professor I had in college that covered material he had read about but have never actually worked with. I am kind of surprised to see material presented this way in such a nice looking textbook from a respectable publisher.What is particularly frustrating is that there is a lot of good material here. If it were massively edited with some major rewriting (with fact checking), it could be turned into quite a good book. Until that happens, I would suggest avoiding this particular volume.",2023-01-01
French Made Simple: Learn to speak and understand French quickly and easily,"B. Keilani ""Journeyman""",4,Very useful for building up your reading skills,"Personally, I think that reading is very useful for building your fluency, and reading definitely helps you with your listening skills. The author, it seems, wants you to read the texts several times including silently and out-loud. If you go over these texts more than once, it would definitely help you improve your French skills in various areas. I really enjoy reading this. I've studied French for years, and I can still say there are some gaps in my learning. This is not only good for reviewing, but also for people trying to hone their skills. It might be slightly difficult for an absolute beginner as some have said, but if you can find a native speaker to insist you, it could go a long way or come back to this book after using some books that help you build up your skills and vocabulary. If you've finished say 2 semesters of French, this shouldn't be hard to handle at all. An absolute beginner whose absolutely determined and diligent and persistent could benefit from this book on the first go. As far as the pronunciation, it's hard to get that simply from how the author writes it.I can't necessarily agree with how states that the French ""a"" sounds like the ""a"" in cat in English. I don't think so.Otherwise, he does a great job. Maybe if you're from England, that pronunciation of cat might work or some parts of New England.I bought this book used, and I'm happy that I bought it. I will read the texts more than once. I can see they're very useful and can help you improve your reading skills without much stress at all. Some readers could be stressful for some learners. While this isn't really a reader, it can function as one!:)",2023-01-01
Pasquale's Nose: Idle Days in an Italian Town,tom,5,Good to the last drop of espresso ...,"As one of the many who has fallen in lust with Italy over a too-short visit, I found this a fun read.The author displays a whacked-out sense of humor as he deconstructs the citizenry of a small town (large village?) north of Rome. There seems to be an unusually large number of eccentrics inside those ancient walls, and one more - in the person of Rips - just adds to the brew. He seems out of his element in the beginning, but eventually you start to think he's landed exactly where he belongs, in a sort of beign asylum where the inmates are the admissions committee.The dry commentary reminded me of the great Ludwig Bemelmens, one of the 20th century's premier travel essayists, though sadly largely forgotten today. Maybe you've read D.H.Lawrence's accounts of travel in Italia - infuse an offbeat sense of humor and a semi-fictional tone and you'll come away with a copy of Pasquale's Nose. If you don't get to go to Italy yourself this year - or, better yet, if you do - this may be the perfect vacation read.",2023-01-01
Handbook of Industrial Robotics,dymaxion@concentric.net,5,Comprehensive Anticipatory Design Science,"This book is simply great. I believe this book will hold its own and stand against the test of time for several decades. The information provided is simply one of the most comprehensive, all inclusive works in the field of industrial robotics. It covers a thorough history of robotics, and a detailed analysis of all the quirks and surprises discovered when working on such complex pieces of machinery. There are those who would say, in the light of relelntless progress, that this book is outdated. While I do not believe them, if they are right in this respect, this book still has so much to offer. The tales of human ingenuity may well prove to be more valuable than the technical information. Buy this book now, before they stop publishing it!",2023-01-01
French Made Simple: Learn to speak and understand French quickly and easily,Alicia Wilson,4,Helpful,I really found this book to be pretty helpful. I had taken a French class in high school but I have learned from this book as well,2023-01-01
Pasquale's Nose: Idle Days in an Italian Town,tom,5,Good to the last drop of espresso ...,"As one of the many who has fallen in lust with Italy over a too-short visit, I found this a fun read.The author displays a whacked-out sense of humor as he deconstructs the citizenry of a small town (large village?) north of Rome. There seems to be an unusually large number of eccentrics inside those ancient walls, and one more - in the person of Rips - just adds to the brew. He seems out of his element in the beginning, but eventually you start to think he's landed exactly where he belongs, in a sort of beign asylum where the inmates are the admissions committee.The dry commentary reminded me of the great Ludwig Bemelmens, one of the 20th century's premier travel essayists, though sadly largely forgotten today. Maybe you've read D.H.Lawrence's accounts of travel in Italia - infuse an offbeat sense of humor and a semi-fictional tone and you'll come away with a copy of Pasquale's Nose. If you don't get to go to Italy yourself this year - or, better yet, if you do - this may be the perfect vacation read.",2023-01-01
Programming Jabber: Extending XML Messaging (O'Reilly XML),"David Griffiths ""David G.""",5,"Thorough, With Well Thought Out Examples","I picked up this book after reading a good review on Slashdot.org, and I'm happy to say that I'm not disappointed.The book covers the installation of the server and the configuration (including a Jabber cluster), and then starts covering the XML protocol that is used to send information between servers and clients.Several useful real-world examples are given, including a CVS-notification system, keyword assistant, headline viewer, etc. There is even a project to hook Jabber up to a coffee pot using Lego Mindstorm, with the point being to show how flexible Jabber can be. Examples are in PERL, Python and Java.The book makes it quite clear that there is far more to Jabber than just instant-messaging.",2023-01-01
Pasquale's Nose: Idle Days in an Italian Town,"Leonard J. Waks ""philosopher and armchair tra...",5,Zen Italy,"Michael Rips described himself as a lost soul who has no useful skills and can find no direction in life. This is the author, lawyer and writer Michael Rips, speaking about a character, ""Michael Rips,"" who bears no more relation to the author than the character ""Woody Allen"" bears to the famous film actor and director.I was pleased to learn in another review that the town of Sutri actually exists. Although that other reviewer states that this town is perfectly described by Rips, I had my doubts whether there was such a town, or, if there were, it bore about the same relation to Rips ""Sutri"" that Rips the author bore to his character. In any event, it would not matter, because despite the local color it lends to the book, the place is not in itself of great importance. Quirky people can be found making a life together everywhere, and that is what this book is ultimately about.The book consists of short chapters composed of shorter vignettes. The first chapter establishes the character ""Rips"", the setting ""Sutri"", and the situation that brings Rips and his wife to that town: the author's inability to do anything useful. The character then hangs out in cafes and tries without much success to engage the locals and understand them.Unlike the authors of Italian Neighbors (Tim Parks) and A Small Place in Italy (Eric Newby), Rips never succeeds in penetrating the town, and his character descriptions of the locals are mere anecdotes describing their incredible eccentircities. As one friend expresses it, the Sutrini are ""mad, mad"".But about halfway through the book, this premise sufficiently established, Rips stretches out. The eccentricities are replaced by genuine paradoxes, and each anecdote becomes something of a zen koan. Reflections on these may be highly amusing, but will not yeild to rational understanding.By the end of the book a convincing world of paradox, a zen world, is established. In creating their town, the Sutrini have relied on collective myths (many not merely mythic but demonstrably false) which over time have affected the being of each of the residents as they strive to fit in and make sense of their lives. In this way the town is more than the sum of its parts, and each resident is less an ""individual"" than a living ""particle"" in this larger whole. It is impossible to live in this world as a rational autonomous ""individual"" or to understand the Sutrini one by one as individuals.Thus the portrait of the town comes to its own sort of wholeness and completeness, not merely despite the absence of penetrating character studies of the locals, but because of it.",2023-01-01
French Made Simple: Learn to speak and understand French quickly and easily,Roberto R Gressel,5,French Made Simple,Very good instructional French book for anyone even if you don't speak a work in French. Lots of practice examples.,2023-01-01
French Made Simple: Learn to speak and understand French quickly and easily,shashee,3,French Made Simple,Now I need a brain to remember all of this. Not an easy subject for me but the book is helpful,2023-01-01
Leading Change: Why Transformation Efforts Fail (HBR Classic) (HBR OnPoint Enhanced Edition),"Donald Mitchell ""Jesus Loves You!""",5,Make Change Irresistibly Attractive,"The leaders of some organizations have no idea how to make successful changes, and are likely to waste a lot of resources on unsuccessful efforts. Professor Kotter has done a solid job of outlining the elements that must be addressed, so now your organization will at last know what they should be working on.On the other hand, if you have not seen this done successfully before, you may need more detailed examples than this book provides or outside facilitators to help you until you have enough experience to go solo. I suspect this book will not be detailed enough by itself to get you where you want to go.Here's a hint: The Harvard Business Review article by Professor Kotter covers the same material in a much shorter form. You can save time and money by checking this out first before buying the book.I personally find that measurements are very helpful to create self-stimulation to change, and this book does not pay enough attention in that direction. If you agree that measurements are a useful way to stimulate change, be sure to read The Balanced Scorecard, as well, which will help you understand how to use appropriate measurements to make more successful changes.If you want to know what changes to make, this book will also not do it for you. I suggest you read Peter Drucker's Management Challenges for the 21st Century and Peter Senge's Fifth Discipline.Good luck!",2023-01-01
French Made Simple: Learn to speak and understand French quickly and easily,"P. W. Gabriel ""Grandmother""",5,Good Text,First of all French is not simple. But this book breaks it down to be as simple as possible. I haven't gotten thru the whole book but I am working at it. I would definitely buy this one again.,2023-01-01
Pasquale's Nose: Idle Days in an Italian Town,Joel Thomas,2,"Nice Stories: Disjointed, Sometimes Funny, Meandering","Read the rave reviews and then read the book yourself. Pasquale's Nose is a big disappointment and not tied together well, chapter to chapter. Michael Rips flits from subject to subject, character to character without developing anything enough to make you care and there is a rich seam of stories about the residents and history of Sutri to be told here. The book is unsatisfying and unfinished and attempts to be philisophical at the end with a discussion of Adam and Eve and the question &quot;Where Are You?&quot;. Even so, I am glad I read the book because it opened up the village of Sutri, Italy -- and surrounding area -- for my further investigation. It whetted my appetite. I'll give Paquale's Nose that.",2023-01-01
Science and Culture: Popular and Philosophical Essays,Viktor Blasjo,5,Some highlights,"Against Euclidean transcendental intuition. The mind invents the categories in terms of which it perceives the world. ""The same aether vibrations which the eye feels as light, the skin feels as heat. The same aerial vibrations which the skin feels as whirring motions, the ear feels as sound."" (p. 346). ""Kant, however, went further ... [and] considered spatial determinations as little belonging to the real world, 'to the thing in itself,' as the colors which we see belonging to bodies in themselves, and which we rather brought into them through out eyes."" (p. 348). Be here there is a strong disanalogy: spatial intuition, according to Kant, contains definite content, namely the Euclidean axioms. The supposed proof of this is that we can all intuit Euclidean geometry and no other geometries. But this proof fails. By the same reasoning one could ""prove"" that the English language is innate while Swahili is not. Just as we are born with a general language capacity that quickly specialises in response to given environmental conditions, there is every reason to think that our spatial intuition is initially neutral with respect to Euclidean or non-Euclidean geometry and subsequently formed by empirical data. Thus Kant's claim that the Euclidean axioms are innate is: ""1. an unproven hypothesis; 2. an unnecessary hypothesis, since it pretends to explain nothing in our factual world of representation that could not also be explained without its help; and 3. a completely unusable hypothesis for the explanation of our knowledge of the real world, since the theorems established by it may first be applied to the relations of the real world after its objective validity has been experimentally proven and determined"" (p. 380). Point 3 may be illustrated by the following example (p. 373). Let ABC be an equilateral triangle. Extend AB and AC above A and mark the points b and c on these lines that have the same distance to A as do B and C. Now: does bc=BC? Euclidean geometry says yes; non-Eucliden no. It is not for the mind to decide the outcome: the mind invents the categories in terms of which it perceives the world, but equality or inequality of impressions must depend on equality or inequality in the underlying physical reality, whatever it may be.""On Academic Freedom in German Universities."" ""Such was the origin of Universities"": ""a free confederation of independent men, in which teachers as well as taught were brought together by no other interest than that of love of science; some by the desire of discovering the treasure of mental culture which antiquity had bequeathed, others endeavouring to kindle in a new generation the ideal enthusiasm which had animated their lives"" (p. 330). Today ""the German student alone has this perfect joy."" ""He can devote himself to the task of striving after the best and noblest which the human race has hitherto been able to attain in knowledge and in speculation, closely joined in friendly rivalry with a large body of associates of similar aspirations, and in daily mental intercourse with teachers from whom he learns something of the workings of the thought of independent minds."" (p. 334). ""You, my younger friends, have received in this freedom of the German students a costly and valuable inheritance of preceding generations. Keep it---and hand it on to coming races, purified and ennobled if possible. ... But freedom necessarily implies responsibility. It is as injurious a present for the weak, as it is valuable for strong characters. Do not wonder if parent and statesmen sometimes urge that a more rigid system of supervision and control, like that of the English, shall be introduced even among us. There is no doubt that, by such a system, many a one would have been saved who is ruined by freedom. But the State and the Nation is best served by those who can bear freedom, and have shown that they know how to work and struggle, from their own force and insight and from their own interest in science."" (pp. 334-335). ""Another point in which German Universities are distinguished from the English and French ones ... is that we start with the object of having instruction given, if possible, only by teachers who have proved their own power of advancing science. ... The English and French ... lay more weight ... on what is called the 'talent for teaching'---that is, the power of explaining the subjects of instruction in a well-arranged and clear manner, and, if possible, with eloquence, and so as to entertain and fix the attention. ... I am by no means prepared to defend what is, frequently, our too great contempt for form is speech and in writing. It cannot ... be doubted that many original men, who have done considerable scientific work, have often an uncouth, heavy, and hesitating delivery. Yet I have not infrequently seen that such teachers had crowded lecture-rooms, while empty-headed orators excited astonishment in the first lecture, fatigue in the second, and were deserted in the third. Anyone who desires to give his hearers a perfect conviction of the truth of his principles must, first of all, know from his own experience how conviction is acquired and how not. ... A teacher who retails convictions which are foreign to him, is sufficient for those pupils who depend upon authority as the source of their knowledge, but not for such as require bases for their convictions ... [Thus] The free conviction of the student can only be acquired when freedom of expression is guaranteed to the teacher's own conviction---the liberty of teaching."" (pp. 335-336).""The Relation of Optics to Painting."" Small particles in the air scatter light. ""The colour of the light reflected by the opaque particles mainly depends on their magnitude. When a block of wood floats on water, and by a succession of falling drops we produce small wave-rings near it, these are repelled by the floating wood as if it were a solid wall. But in the long waves of the sea, a block of wood would be rocked about without the waves being thereby materially disturbed in their progress."" Since blue light has the shortest wavelength it is most easily scattered. That is why the sky is blue: while the red and yellow rays pierced through the atmosphere, the blue ones were deflected down to us. ""Conversely, the denser turbidity consists mainly of coarser particles, and is therefore whitish. As a rule, this is the case in the lower layers of air, and in states of weather in which the aqueous vapour in the air is near its point of condensation. On the other hand, the light which reaches the eye of the observer after having passed through a long layer of air, has been robbed of part of its violet and blue by scattered reflections; it therefore appears yellowish to reddish-yellow or red, the former when the turbidity is fine, the latter when it is coarse. This the sun and the moon at their rising and setting, and also distant brightly illuminated mountain-tops, especially snow-mountains, appear coloured."" ""The high transparent landscapes of mountain regions, which so often lead the Alpine climber to under-estimate the distance and the magnitude of the mountain-tops before him, are also difficult to turn to account in a picturesque manner. Views from the valleys ... are far better; not only do they allow the various distances and magnitudes of what is seen to stand out, but they are on the other hand favourable to the artistic unity of colouration."" (pp. 286-287)",2023-01-01
Pasquale's Nose: Idle Days in an Italian Town,Uriel Dana,5,A Nose for Humor by Uriel Dana,"""The kind of book you want to read out loud to someone.... even the stranger sitting next to you!"" Uriel DanaHistory, eccentric characters & dry wit synergistically arrange themselves into laugh-out-loud combinations in Pasquale's Nose.In each chapter Rips demonstrates brilliant observational and storytelling abilities.By the end of the book, all of these surreal characters began to develop a larger, over-soul quality. They reminded me of cultures like the Aboriginal Australians that perceive realities on more than one level. The stories and the history of this place are not only extremely interesting and funny, but they left me pondering the possibilities for hours.",2023-01-01
French Made Simple: Learn to speak and understand French quickly and easily,"Mrs. Susan A. Yoderzak ""sak""",5,great book,this book does just what the title say's. it is for anyone who wants to learn french fast.,2023-01-01
Programming Jabber: Extending XML Messaging (O'Reilly XML),Dmytro,4,Jabber book,"Expected this to be an ejabberd-related book, but its not. Oh well, a new view at the problem is welcome too. Will be reading most of this book anyway. Got another XMPP book along with this one they pair well.",2023-01-01
Japanese Hiragana: An Introductory Japanese Language Workbook,Katherine,5,great book,lots of practice squares for learning the writing of the idividual hiragana.. then after learning a few you get to see and copy full sentences in hiragana.. this really helps.. i used this book together withJapanese Hiragana for Beginners: First Steps to Mastering the Japanese Writing System (Japanese Edition)..pretty much the whole second half of the book is practicing writing sentences and words.. it even has a section for onomatopoeia.. then there are pages in the back for practicing writing your own sentences,2023-01-01
Artists in Residence: A Guide to the Homes and Studios of Eight 19th-Century Painters In and Around Paris Paperback with slip case,nkb,2,for the coffeetable not for reading,"I was so disapointed with this book when I got it. I wanted some ANALYSIS and scholarship in conjunction with the photographs...but NO, there was NONE TO BE FOUND. The reproductions are nice and if you just want something to look at fine...get the book. However, if you actually want to read a book about french studios this is not the book to buy.",2023-01-01
Rockets and Missiles: The Life Story of a Technology (Greenwood Technographies),kclam,4,Good Read!,"This book offers a interesting overview of the history of rocket technology in the 20th century. Some technical details of the technology are also presented.Of particular interests are the vivid accounts of Apollo spacecraft, Space Shuttle, Intercontinental ballistic missiles, Submarine-launched ballistic missiles, Tactical guided Patriot missiles, Missile defense and Arms control.Missiles have evolved in the past decades and major changes have been made in their design. In contrast, improvements of the propulsion systems have been incremental only. However, the robot probe (Deep Space 1) was launched by an innovative propulsion system (a small ion engine) to study comet Borredly in 1998. This technology demonstrator may be evaluated for use on future spacecraft!",2023-01-01
